"id","name","x_concept_source","x_concept_code","detailed_type"
"init.hiv_viral_load","HIV VIRAL LOAD","LOINC","10351-5","service"
"init.hepatitis_c_viral_load","HEPATITIS C VIRAL LOAD","LOINC","11011-4","service"
"init.hepatitis_c_antibody_plasma","Hepatitis C Antibody(Plasma)","LOINC","16128-1","service"
"init.alt_serum","ALT(Serum)","LOINC","1742-6","service"
"init.ast_serum","AST(Serum)","LOINC","1920-8","service"
"init.hematocrit_whole_blood","Hematocrit(Whole Blood)","LOINC","20570-8","service"
"init.total_cholesterol_serum","Total Cholesterol(Serum)","LOINC","2093-3","service"
"init.creatinine_serum","Creatinine(Serum)","LOINC","2160-0","service"
"init.glucose_whole_blood","Glucose(Whole Blood)","LOINC","2345-7","service"
"init.urinalysis_2_urine","Urinalysis 2(Urine)","LOINC","24356-8","service"
"init.triglycerides_plasma","Triglycerides(Plasma)","LOINC","2571-8","service"
"init.hepatitis_b_viral_load","HEPATITIS B VIRAL LOAD","LOINC","29615-2","service"
"init.blood_urea_nitrogen_plasma","Blood Urea Nitrogen(Plasma)","LOINC","3094-0","service"
"init.red_blood_cells","Red Blood Cells","LOINC","32423-2","service"
"init.white_blood_cells","White blood Cells","LOINC","3432-9","service"
"init.malaria_rapid_test_whole_blood","Malaria Rapid Test(Whole Blood)","LOINC","51587-4","service"
"init.hepatitis_b_surface_antigen_plasma","Hepatitis B Surface Antigen(Plasma)","LOINC","5195-3","service"
"init.complete_blood_count_whole_blood","Complete Blood Count(Whole Blood)","LOINC","58410-2","service"
"init.monocytes","Monocytes (%)","LOINC","5905-5","service"
"init.white_blood_cell_count_whole_blood","White Blood Cell Count(Whole Blood)","LOINC","6690-2","service"
"init.hiv_rapid_test_plasma","HIV Rapid Test(Plasma)","LOINC","68961-2","service"
"init.hemoglobin_whole_blood","Hemoglobin(Whole Blood)","LOINC","718-7","service"
"init.lymphocytes_abs","Lymphocytes (Abs)","LOINC","731-0","service"
"init.lymphocytes","Lymphocytes (%)","LOINC","736-9","service"
"init.monocytes_abs","Monocytes (Abs)","LOINC","742-7","service"
"init.platelet_count_whole_blood","Platelet Count(Whole Blood)","LOINC","777-3","service"
"init.dengue_pcr","DENGUE PCR","LOINC","7855-0","service"
"init.covid_19_pcr","COVID-19 PCR","LOINC","94500-6","service"
"init.covid_19_antibody_igm","COVID-19 ANTIBODY IgM","LOINC","94547-7","service"
"init.anti_er","Anti-ER","","","service"
"init.anti_gata_3","Anti-Gata 3","","","service"
"init.anti_her2","Anti-HER2","","","service"
"init.anti_ki67","Anti-Ki67","","","service"
"init.anti_muc2","Anti-MUC2","","","service"
"init.anti_mum1","Anti-MUM1","","","service"
"init.anti_pr","Anti-PR","","","service"
"init.anti_pan_keratin","Anti-Pan Keratin","","","service"
"init.anti_s100","Anti-S100","","","service"
"init.anti_synaptophysin_sp11","Anti-Synaptophysin (SP11)","","","service"
"init.anti_thyroid_transcription_factor","Anti-Thyroid Transcription Factor","","","service"
"init.anti_vimentin","Anti-Vimentin","","","service"
"init.anti_hepatocyte_specific_antigen_hep_par_1","Anti-hepatocyte Specific Antigen (Hep Par-1)","","","service"
"init.anti_melanosome_hmb45","Anti-melanosome (HMB45)","","","service"
"init.anti_p40_bc28","Anti-p40 (BC28)","","","service"
"init.anti_p63_4a4","Anti-p63 (4A4)","","","service"
"init.ba","BA#","","","service"
"init.bcl_2","BCL 2","","","service"
"init.bcl_6","BCL 6","","","service"
"init.baso","Baso %","","","service"
"init.basophiles","Basophiles","","","service"
"init.basophiles","Basophiles (%)","","","service"
"init.berep4","BerEp4","","","service"
"init.beta_hcg","Beta HCG","","","service"
"init.bioline","Bioline","","","service"
"init.bioline","Bioline","","","service"
"init.bioline","Bioline","","","service"
"init.bioline","Bioline","","","service"
"init.ccmh","CCMH","","","service"
"init.cd3_percentage_count","CD3 percentage count","","","service"
"init.cd4","CD4","","","service"
"init.cd4_absolute_count_mm3","CD4 Absolute count (mm3)","","","service"
"init.cd4_absolute_count","CD4 absolute count","","","service"
"init.cd4_percent","CD4 percent  (%)","","","service"
"init.cd4_percentage_count","CD4 percentage count","","","service"
"init.cintec_p16_histology","CINtec® p16 Histology","","","service"
"init.cmch","CMCH","","","service"
"init.calponin","Calponin","","","service"
"init.calretinin","Calretinin","","","service"
"init.cr_atinin_mie","Créatininémie","","","service"
"init.dna_pcr","DNA PCR","","","service"
"init.dog1_sp31","DOG1 (SP31)","","","service"
"init.determine","Determine","","","service"
"init.determine","Determine","","","service"
"init.eo","EO#","","","service"
"init.eosinophiles","Eosinophiles","","","service"
"init.eosinophiles","Eosinophiles (%)","","","service"
"init.gb","GB","","","service"
"init.got_asat","GOT/ASAT","","","service"
"init.gpt_alat","GPT/ALAT","","","service"
"init.gr","GR","","","service"
"init.genie_ii","Genie II","","","service"
"init.genie_ii_10","Genie II 10","","","service"
"init.genie_ii_100","Genie II 100","","","service"
"init.genie_iii","Genie III","","","service"
"init.genie_iii","Genie III","","","service"
"init.genie_iii","Genie III","","","service"
"init.glial_fibrillary_acidic_protein","Glial Fibrillary Acidic Protein","","","service"
"init.glyc_mie","Glycémie","","","service"
"init.g_notypage","Génotypage","","","service"
"init.hbsag_hepatitis_b_surface_antigen","HBsAg (Hepatitis B surface antigen)","","","service"
"init.hct","HCT","","","service"
"init.hdl_cholesterol","HDL cholesterol","","","service"
"init.hiv_infant_viral_load","HIV INFANT VIRAL LOAD","","","service"
"init.hiv_infant_viral_load","HIV INFANT VIRAL LOAD","","","service"
"init.hiv_infant_viral_load","HIV INFANT VIRAL LOAD","","","service"
"init.hiv_rapid_test_hiv","HIV rapid test HIV","","","service"
"init.hiv_rapid_test_hiv","HIV rapid test HIV","","","service"
"init.hiv_rapid_test_hiv","HIV rapid test HIV","","","service"
"init.hematocrit","Hematocrit","","","service"
"init.hemoglobin","Hemoglobin","","","service"
"init.her2_dual_ish","Her2 Dual ISH","","","service"
"init.histopathology_examination","Histopathology examination","","","service"
"init.inhibin","Inhibin","","","service"
"init.innolia","Innolia","","","service"
"init.integral","Integral","","","service"
"init.ly","LY#","","","service"
"init.lymph","Lymph %","","","service"
"init.mo","MO#","","","service"
"init.medium_corpuscular_volum","Medium corpuscular volum","","","service"
"init.mono","Mono %","","","service"
"init.murex","Murex","","","service"
"init.murex","Murex","","","service"
"init.murex","Murex","","","service"
"init.myogenin_f5d","Myogenin (F5D)","","","service"
"init.ne","NE#","","","service"
"init.napsin_a_mrq_60","Napsin A (MRQ-60)","","","service"
"init.neut","Neut %","","","service"
"init.neutrophiles","Neutrophiles","","","service"
"init.neutrophiles","Neutrophiles (%)","","","service"
"init.p_53","P 53","","","service"
"init.p24_ag","P24 Ag","","","service"
"init.p24_ag","P24 Ag","","","service"
"init.plq","PLQ","","","service"
"init.pax_5","Pax 5","","","service"
"init.pax_8","Pax 8","","","service"
"init.platelets","Platelets","","","service"
"init.proteinuria_dipstick","Proteinuria dipstick","","","service"
"init.red_blood_cells_count_rbc","Red Blood Cells Count (RBC)","","","service"
"init.stat_pak","Stat-Pak","","","service"
"init.stat_pak","Stat-Pak","","","service"
"init.stat_pak","Stat-Pak","","","service"
"init.tcmh","TCMH","","","service"
"init.tmch","TMCH","","","service"
"init.thyroglobulin_2h11_6e1","Thyroglobulin (2H11+6E1)","","","service"
"init.total_cholesterol","Total cholesterol","","","service"
"init.transaminases_altl","Transaminases ALTL","","","service"
"init.transaminases_astl","Transaminases ASTL","","","service"
"init.urine_prenancy_test","Urine prenancy test","","","service"
"init.vgm","VGM","","","service"
"init.viral_load","Viral Load","","","service"
"init.viral_load","Viral load","","","service"
"init.vironostika","Vironostika","","","service"
"init.vironostika","Vironostika","","","service"
"init.vironostika","Vironostika","","","service"
"init.vironostika","Vironostika","","","service"
"init.western_blot_1","Western Blot 1","","","service"
"init.western_blot_2","Western Blot 2","","","service"
"init.western_blot_hiv","Western blot HIV","","","service"
"init.western_blot_hiv","Western blot HIV","","","service"
"init.white_blood_cells_count_wbc","White Blood Cells Count (WBC)","","","service"
"init.wilms_tumor_1_protein_wt1","Wilms' tumor 1 protein (WT1)","","","service"
"init.hb","Hb","","","service"
"init.p24_ag","p24 Ag","","","service"
"init.amacr_p504_s","AMACR (p504 s)","","","service"
"init.anti_ema_e29","Anti-EMA (E29)","","","service"
"init.arv_resistance","ARV resistance","","","service"
"init.actin_smooth_muscle","Actin Smooth Muscle","","","service"
"init.albumin","Albumin","","","service"
"init.amylase","Amylase","","","service"
"init.anti_cd_3","Anti-CD 3","","","service"
"init.anti_cd_5","Anti-CD 5","","","service"
"init.anti_cd10","Anti-CD10","","","service"
"init.anti_cd15","Anti-CD15","","","service"
"init.anti_cd20","Anti-CD20","","","service"
"init.anti_cd22","Anti-CD22","","","service"
"init.anti_cd30","Anti-CD30","","","service"
"init.anti_cd34","Anti-CD34","","","service"
"init.anti_cd45","Anti-CD45","","","service"
"init.anti_cd56","Anti-CD56","","","service"
"init.anti_cd7","Anti-CD7","","","service"
"init.anti_cd79a","Anti-CD79a","","","service"
"init.anti_cd99_o13","Anti-CD99 (O13)","","","service"
"init.anti_cdx_2_epr2764y","Anti-CDX-2 (EPR2764Y)","","","service"
"init.anti_chromogranin_a","Anti-Chromogranin A","","","service"
"init.anti_cyclin_d1_sp4_r","Anti-Cyclin D1 (SP4-R)","","","service"
"init.anti_cytokeratin_20","Anti-Cytokeratin 20","","","service"
"init.anti_cytokeratin_5_6","Anti-Cytokeratin 5/6","","","service"
"init.anti_cytokeratin_7","Anti-Cytokeratin 7","","","service"
"init.anti_desmin","Anti-Desmin","","","service"
"init.anti_e_cadherin","Anti-E-Cadherin","","","service"
"init.eo","Eo %","","","service"
